event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-10-01 00:00:01,view,100001,2053013555631882655,electronics.smartphone,samsung,329.90,501001,s001
2019-10-01 00:01:20,cart,100001,2053013555631882655,electronics.smartphone,samsung,329.90,501001,s001
2019-10-01 00:04:05,purchase,100001,2053013555631882655,electronics.smartphone,samsung,329.90,501001,s001
2019-10-01 00:12:10,view,100002,2053013555631882655,electronics.smartphone,apple,949.00,501002,s002
2019-10-01 00:14:18,view,100003,2053013565983425517,electronics.audio,sony,119.00,501003,s003
2019-10-01 00:16:23,cart,100003,2053013565983425517,electronics.audio,sony,119.00,501003,s003
2019-10-01 00:18:07,remove_from_cart,100003,2053013565983425517,electronics.audio,sony,119.00,501003,s003
2019-10-02 09:20:10,view,100004,2053013553375346967,appliances.kitchen,bosch,499.00,501004,s004
2019-10-02 09:24:45,cart,100004,2053013553375346967,appliances.kitchen,bosch,499.00,501004,s004
2019-10-03 11:10:02,view,100005,2053013558920217191,computers.notebook,lenovo,799.00,501005,s005
2019-10-03 11:18:30,purchase,100005,2053013558920217191,computers.notebook,lenovo,799.00,501005,s005
